 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
37.5,-27.5,0.01,8.99E-03,0.1
37.5,-22.5,0.01,1.06E-02,0.1
37.5,-17.5,0.01,1.15E-02,0.1
37.5,-12.5,0.01,1.26E-02,0.1
37.5,-7.5,0.01,1.21E-02,0.1
37.5,-2.5,0.01,1.34E-02,0.1
37.5,2.5,0.01,1.31E-02,0.1
37.5,7.5,0.01,1.22E-02,0.1
37.5,12.5,0.01,1.23E-02,0.1
37.5,17.5,0.01,1.07E-02,0.1
37.5,22.5,0.01,9.98E-03,0.1
37.5,27.5,0.01,9.03E-03,0.1
37.5,32.5,0.01,7.91E-03,0.1
37.5,37.5,0.01,6.88E-03,0.1
37.5,42.5,0.01,6.17E-03,0.1
37.5,47.5,0.01,6.04E-03,0.1
37.5,52.5,0.01,4.56E-03,0.1
37.5,57.5,0.01,4.31E-03,0.1
37.5,62.5,0.01,3.43E-03,0.1
37.5,67.5,0.01,3.54E-03,0.1
37.5,72.5,0.01,3.18E-03,0.1
37.5,77.5,0.01,2.80E-03,0.1
37.5,82.5,0.01,2.69E-03,0.1
37.5,87.5,0.01,2.48E-03,0.1
37.5,92.5,0.01,1.61E-03,0.1
37.5,97.5,0.01,2.04E-03,0.1
37.5,102.5,0.01,1.17E-03,0.1
37.5,107.5,0.01,1.26E-03,0.1
37.5,112.5,0.01,8.19E-04,0.1
37.5,117.5,0.01,3.50E-04,0.1
42.5,-37.5,0.01,6.54E-03,0.1
42.5,-32.5,0.01,6.60E-03,0.1
42.5,-27.5,0.01,7.63E-03,0.1
42.5,-22.5,0.01,9.00E-03,0.1
42.5,-17.5,0.01,8.94E-03,0.1
42.5,-12.5,0.01,9.76E-03,0.1
42.5,-7.5,0.01,1.05E-02,0.1
42.5,-2.5,0.01,1.05E-02,0.1
42.5,2.5,0.01,1.02E-02,0.1
42.5,7.5,0.01,9.91E-03,0.1
42.5,12.5,0.01,1.06E-02,0.1
42.5,17.5,0.01,8.92E-03,0.1
42.5,22.5,0.01,9.15E-03,0.1
42.5,27.5,0.01,7.86E-03,0.1
42.5,32.5,0.01,7.51E-03,0.1
42.5,37.5,0.01,6.64E-03,0.1
42.5,42.5,0.01,5.10E-03,0.1
42.5,47.5,0.01,5.43E-03,0.1
42.5,52.5,0.01,4.15E-03,0.1
42.5,57.5,0.01,4.34E-03,0.1
42.5,62.5,0.01,4.02E-03,0.1
42.5,67.5,0.01,3.10E-03,0.1
42.5,72.5,0.01,2.11E-03,0.1
42.5,77.5,0.01,2.82E-03,0.1
42.5,82.5,0.01,1.98E-03,0.1
42.5,87.5,0.01,2.29E-03,0.1
42.5,92.5,0.01,1.04E-03,0.1
42.5,97.5,0.01,1.05E-03,0.1
42.5,102.5,0.01,7.06E-04,0.1
42.5,107.5,0.01,1.11E-03,0.1
42.5,112.5,0.01,1.51E-03,0.1
42.5,117.5,0.01,3.04E-04,0.1
47.5,-37.5,0.01,5.18E-03,0.1
47.5,-32.5,0.01,6.77E-03,0.1
47.5,-27.5,0.01,6.93E-03,0.1
47.5,-22.5,0.01,7.08E-03,0.1
47.5,-17.5,0.01,7.69E-03,0.1
47.5,-12.5,0.01,8.08E-03,0.1
47.5,-7.5,0.01,8.64E-03,0.1
47.5,-2.5,0.01,9.30E-03,0.1
47.5,2.5,0.01,9.09E-03,0.1
47.5,7.5,0.01,8.40E-03,0.1
47.5,12.5,0.01,7.85E-03,0.1
47.5,17.5,0.01,8.54E-03,0.1
47.5,22.5,0.01,7.33E-03,0.1
47.5,27.5,0.01,6.33E-03,0.1
47.5,32.5,0.01,6.76E-03,0.1
47.5,37.5,0.01,5.78E-03,0.1
47.5,42.5,0.01,4.74E-03,0.1
47.5,47.5,0.01,3.85E-03,0.1
47.5,52.5,0.01,3.83E-03,0.1
47.5,57.5,0.01,3.65E-03,0.1
47.5,62.5,0.01,3.73E-03,0.1
47.5,67.5,0.01,2.18E-03,0.1
47.5,72.5,0.01,2.01E-03,0.1
47.5,77.5,0.01,1.68E-03,0.1
47.5,82.5,0.01,1.72E-03,0.1
47.5,87.5,0.01,1.09E-03,0.1
47.5,92.5,0.01,1.64E-03,0.1
47.5,97.5,0.01,1.05E-03,0.1
47.5,102.5,0.01,8.34E-04,0.1
47.5,107.5,0.01,5.04E-04,0.1
47.5,112.5,0.01,1.59E-03,0.1
47.5,117.5,0.01,3.18E-04,0.1
52.5,-37.5,0.01,4.64E-03,0.1
52.5,-32.5,0.01,5.06E-03,0.1
52.5,-27.5,0.01,5.84E-03,0.1
52.5,-22.5,0.01,6.49E-03,0.1
52.5,-17.5,0.01,6.27E-03,0.1
52.5,-12.5,0.01,7.26E-03,0.1
52.5,-7.5,0.01,6.91E-03,0.1
