x_utm,y_utm,z_utm,aCT_RP_Res_nT,Std_dev[nT]
369234,2533221,1349.865175,-7.73579246,0.1
369334,2531721,1356.495427,-8.194175703,0.1
369334,2531821,1352.324062,-18.88843677,0.1
369334,2531921,1350.333815,-2.929456641,0.1
369334,2532021,1348.867673,56.34776211,0.1
369334,2532121,1342.507026,45.92717272,0.1
369334,2532221,1335.146013,-8.014136686,0.1
369334,2532321,1335.557743,-17.85300411,0.1
369334,2532421,1335.673737,-14.97845269,0.1
369334,2532521,1336.507737,-13.77072823,0.1
369334,2532621,1337.641823,-12.93711991,0.1
369334,2532721,1338.880415,-11.98390394,0.1
369334,2532821,1340.562334,-10.72341996,0.1
369334,2532921,1342.681171,-9.309225369,0.1
369334,2533021,1343.865277,-7.862333841,0.1
369334,2533121,1343.589518,-6.503439564,0.1
369334,2533221,1344.533485,-7.827692792,0.1
369434,2531721,1349.919648,-9.089618642,0.1
369434,2531821,1346.113471,-15.46578354,0.1
369434,2531921,1342.399456,-13.9180315,0.1
369434,2532021,1338.898977,-8.462812868,0.1
369434,2532121,1334.475326,-7.975341167,0.1
369434,2532221,1332.036302,-16.84236619,0.1
369434,2532321,1332.878809,-18.86764846,0.1
369434,2532421,1333.442518,-16.14164129,0.1
369434,2532521,1334.003537,-14.48107311,0.1
369434,2532621,1333.655745,-13.27287167,0.1
369434,2532721,1334.569208,-12.07026988,0.1
369434,2532821,1336.523643,-10.77128415,0.1
369434,2532921,1338.934953,-9.36476674,0.1
369434,2533021,1340.243711,-7.94544622,0.1
369434,2533121,1339.542351,-6.647076694,0.1
