 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   475.000,    675.000,     0.010, 0.1110E+01,  0.100
   475.000,    725.000,     0.010, 0.1214E+01,  0.100
   475.000,    775.000,     0.010, 0.1323E+01,  0.100
   475.000,    825.000,     0.010, 0.1001E+01,  0.100
   475.000,    875.000,     0.010, 0.1144E+01,  0.100
   475.000,    925.000,     0.010, 0.1031E+01,  0.100
   475.000,    975.000,     0.010, 0.5647E+00,  0.100
   525.000,     25.000,     0.010, 0.7083E+00,  0.100
   525.000,     75.000,     0.010, 0.5722E+00,  0.100
   525.000,    125.000,     0.010, 0.7526E+00,  0.100
   525.000,    175.000,     0.010, 0.6737E+00,  0.100
   525.000,    225.000,     0.010, 0.7384E+00,  0.100
   525.000,    275.000,     0.010, 0.7714E+00,  0.100
   525.000,    325.000,     0.010, 0.1063E+01,  0.100
   525.000,    375.000,     0.010, 0.1021E+01,  0.100
   525.000,    425.000,     0.010, 0.1177E+01,  0.100
   525.000,    475.000,     0.010, 0.9386E+00,  0.100
   525.000,    525.000,     0.010, 0.1101E+01,  0.100
   525.000,    575.000,     0.010, 0.1080E+01,  0.100
   525.000,    625.000,     0.010, 0.1072E+01,  0.100
   525.000,    675.000,     0.010, 0.1393E+01,  0.100
   525.000,    725.000,     0.010, 0.1417E+01,  0.100
   525.000,    775.000,     0.010, 0.1336E+01,  0.100
   525.000,    825.000,     0.010, 0.9809E+00,  0.100
   525.000,    875.000,     0.010, 0.1121E+01,  0.100
   525.000,    925.000,     0.010, 0.8729E+00,  0.100
   525.000,    975.000,     0.010, 0.8525E+00,  0.100
   575.000,     25.000,     0.010, 0.5369E+00,  0.100
   575.000,     75.000,     0.010, 0.5233E+00,  0.100
   575.000,    125.000,     0.010, 0.8372E+00,  0.100
   575.000,    175.000,     0.010, 0.7602E+00,  0.100
   575.000,    225.000,     0.010, 0.9006E+00,  0.100
   575.000,    275.000,     0.010, 0.1013E+01,  0.100
   575.000,    325.000,     0.010, 0.9393E+00,  0.100
   575.000,    375.000,     0.010, 0.1067E+01,  0.100
   575.000,    425.000,     0.010, 0.1051E+01,  0.100
   575.000,    475.000,     0.010, 0.1071E+01,  0.100
   575.000,    525.000,     0.010, 0.1122E+01,  0.100
   575.000,    575.000,     0.010, 0.1163E+01,  0.100
   575.000,    625.000,     0.010, 0.1028E+01,  0.100
   575.000,    675.000,     0.010, 0.1112E+01,  0.100
   575.000,    725.000,     0.010, 0.1364E+01,  0.100
   575.000,    775.000,     0.010, 0.1133E+01,  0.100
   575.000,    825.000,     0.010, 0.1111E+01,  0.100
   575.000,    875.000,     0.010, 0.1013E+01,  0.100
   575.000,    925.000,     0.010, 0.8426E+00,  0.100
   575.000,    975.000,     0.010, 0.6274E+00,  0.100
   625.000,     25.000,     0.010, 0.6214E+00,  0.100
   625.000,     75.000,     0.010, 0.7975E+00,  0.100
   625.000,    125.000,     0.010, 0.7345E+00,  0.100
   625.000,    175.000,     0.010, 0.7348E+00,  0.100
   625.000,    225.000,     0.010, 0.9426E+00,  0.100
   625.000,    275.000,     0.010, 0.1055E+01,  0.100
   625.000,    325.000,     0.010, 0.7530E+00,  0.100
   625.000,    375.000,     0.010, 0.7877E+00,  0.100
   625.000,    425.000,     0.010, 0.8921E+00,  0.100
   625.000,    475.000,     0.010, 0.1064E+01,  0.100
   625.000,    525.000,     0.010, 0.9891E+00,  0.100
   625.000,    575.000,     0.010, 0.9732E+00,  0.100
