x_utm,y_utm,z_utm,aCB_Res_mGal,Std_dev[mGal]
367934,2532821,1342.33051,0.263451767,0.1
367934,2532921,1365.23733,-0.552540219,0.1
367934,2533021,1396.222076,-0.477507008,0.1
367934,2533121,1431.454475,-0.211200209,0.1
367934,2533221,1469.237679,0.159499725,0.1
368034,2531721,1424.949916,-1.452683319,0.1
368034,2531821,1384.304186,-0.980205298,0.1
368034,2531921,1355.460171,0.685484121,0.1
368034,2532021,1331.10741,2.422478818,0.1
368034,2532121,1311.059581,1.898142009,0.1
368034,2532221,1303.75015,0.597396023,0.1
368034,2532321,1304.686189,-0.171871909,0.1
368034,2532521,1306.595898,-0.38513125,0.1
368034,2532721,1318.871122,0.285403484,0.1
368034,2532821,1329.119232,-0.224497292,0.1
368034,2532921,1350.034284,-1.039362253,0.1
368034,2533021,1389.999815,-1.115413057,0.1
368034,2533121,1442.1401,-0.693704795,0.1
368034,2533221,1479.023459,0.013887716,0.1
368134,2531721,1433.506996,-0.803903238,0.1
368134,2531821,1387.607895,-0.281050633,0.1
368134,2531921,1349.142009,1.493748505,0.1
368134,2532021,1322.530413,2.839956439,0.1
368134,2532121,1307.946767,1.600349626,0.1
368134,2532221,1304.243422,0.022410346,0.1
368134,2532321,1304.697567,-0.836566545,0.1
368134,2532621,1309.063609,-0.343225801,0.1
368134,2532721,1313.512032,-0.788352481,0.1
368134,2532821,1321.417188,-1.618834956,0.1
368134,2532921,1346.505945,-1.851013956,0.1
368134,2533021,1394.401542,-1.259489124,0.1
368134,2533121,1445.708099,-0.153364627,0.1
368134,2533221,1473.439761,-0.041877684,0.1
368234,2531721,1423.651218,0.577791621,0.1
368234,2531821,1384.297225,1.951752261,0.1
368234,2531921,1348.268633,2.715423742,0.1
368234,2532021,1322.058567,-0.035428625,0.1
368234,2532221,1303.833894,-0.514125223,0.1
368234,2532621,1308.164204,-0.006800756,0.1
368234,2532721,1309.922394,-0.419002467,0.1
368234,2532821,1316.862233,-1.463985956,0.1
368234,2532921,1346.661109,-2.074471086,0.1
368234,2533021,1398.417382,-1.482100739,0.1
368234,2533121,1439.102045,-0.167547038,0.1
368234,2533221,1451.565958,0.152280303,0.1
