 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   525.000,    375.000,     0.010, 0.1003E+01,  0.100
   525.000,    425.000,     0.010, 0.1037E+01,  0.100
   525.000,    475.000,     0.010, 0.1080E+01,  0.100
   525.000,    525.000,     0.010, 0.1134E+01,  0.100
   525.000,    575.000,     0.010, 0.1193E+01,  0.100
   525.000,    625.000,     0.010, 0.1244E+01,  0.100
   525.000,    675.000,     0.010, 0.1271E+01,  0.100
   525.000,    725.000,     0.010, 0.1258E+01,  0.100
   525.000,    775.000,     0.010, 0.1201E+01,  0.100
   525.000,    825.000,     0.010, 0.1103E+01,  0.100
   525.000,    875.000,     0.010, 0.9771E+00,  0.100
   525.000,    925.000,     0.010, 0.8399E+00,  0.100
   525.000,    975.000,     0.010, 0.7062E+00,  0.100
   575.000,     25.000,     0.010, 0.5656E+00,  0.100
   575.000,     75.000,     0.010, 0.6376E+00,  0.100
   575.000,    125.000,     0.010, 0.7085E+00,  0.100
   575.000,    175.000,     0.010, 0.7744E+00,  0.100
   575.000,    225.000,     0.010, 0.8318E+00,  0.100
   575.000,    275.000,     0.010, 0.8794E+00,  0.100
   575.000,    325.000,     0.010, 0.9190E+00,  0.100
   575.000,    375.000,     0.010, 0.9553E+00,  0.100
   575.000,    425.000,     0.010, 0.9946E+00,  0.100
   575.000,    475.000,     0.010, 0.1042E+01,  0.100
   575.000,    525.000,     0.010, 0.1099E+01,  0.100
   575.000,    575.000,     0.010, 0.1158E+01,  0.100
   575.000,    625.000,     0.010, 0.1209E+01,  0.100
   575.000,    675.000,     0.010, 0.1234E+01,  0.100
   575.000,    725.000,     0.010, 0.1221E+01,  0.100
   575.000,    775.000,     0.010, 0.1165E+01,  0.100
   575.000,    825.000,     0.010, 0.1069E+01,  0.100
   575.000,    875.000,     0.010, 0.9469E+00,  0.100
   575.000,    925.000,     0.010, 0.8138E+00,  0.100
   575.000,    975.000,     0.010, 0.6843E+00,  0.100
   625.000,     25.000,     0.010, 0.5811E+00,  0.100
   625.000,     75.000,     0.010, 0.6509E+00,  0.100
   625.000,    125.000,     0.010, 0.7176E+00,  0.100
   625.000,    175.000,     0.010, 0.7776E+00,  0.100
   625.000,    225.000,     0.010, 0.8283E+00,  0.100
   625.000,    275.000,     0.010, 0.8693E+00,  0.100
   625.000,    325.000,     0.010, 0.9029E+00,  0.100
   625.000,    375.000,     0.010, 0.9339E+00,  0.100
   625.000,    425.000,     0.010, 0.9682E+00,  0.100
   625.000,    475.000,     0.010, 0.1010E+01,  0.100
