 x[m],y[m],z[m],mg[nT],Std_dev[nT]
   875.000,    125.000,     0.010, 0.4164E+02,  0.100
   875.000,    175.000,     0.010, 0.2732E+02,  0.100
   875.000,    225.000,     0.010, 0.8925E+01,  0.100
   875.000,    275.000,     0.010,-0.9562E+01,  0.100
   875.000,    325.000,     0.010,-0.2419E+02,  0.100
   875.000,    375.000,     0.010,-0.3233E+02,  0.100
   875.000,    425.000,     0.010,-0.3392E+02,  0.100
   875.000,    475.000,     0.010,-0.3118E+02,  0.100
   875.000,    525.000,     0.010,-0.2673E+02,  0.100
   875.000,    575.000,     0.010,-0.2245E+02,  0.100
   875.000,    625.000,     0.010,-0.1921E+02,  0.100
   875.000,    675.000,     0.010,-0.1718E+02,  0.100
   875.000,    725.000,     0.010,-0.1604E+02,  0.100
   875.000,    775.000,     0.010,-0.1534E+02,  0.100
   875.000,    825.000,     0.010,-0.1461E+02,  0.100
   875.000,    875.000,     0.010,-0.1357E+02,  0.100
   875.000,    925.000,     0.010,-0.1216E+02,  0.100
   875.000,    975.000,     0.010,-0.1051E+02,  0.100
   925.000,     25.000,     0.010, 0.6253E+02,  0.100
   925.000,     75.000,     0.010, 0.6458E+02,  0.100
   925.000,    125.000,     0.010, 0.5620E+02,  0.100
   925.000,    175.000,     0.010, 0.3719E+02,  0.100
   925.000,    225.000,     0.010, 0.1180E+02,  0.100
   925.000,    275.000,     0.010,-0.1422E+02,  0.100
   925.000,    325.000,     0.010,-0.3501E+02,  0.100
   925.000,    375.000,     0.010,-0.4616E+02,  0.100
   925.000,    425.000,     0.010,-0.4775E+02,  0.100
   925.000,    475.000,     0.010,-0.4370E+02,  0.100
   925.000,    525.000,     0.010,-0.3780E+02,  0.100
   925.000,    575.000,     0.010,-0.3193E+02,  0.100
   925.000,    625.000,     0.010,-0.2655E+02,  0.100
   925.000,    675.000,     0.010,-0.2170E+02,  0.100
   925.000,    725.000,     0.010,-0.1739E+02,  0.100
   925.000,    775.000,     0.010,-0.1369E+02,  0.100
   925.000,    825.000,     0.010,-0.1073E+02,  0.100
   925.000,    875.000,     0.010,-0.8544E+01,  0.100
   925.000,    925.000,     0.010,-0.7042E+01,  0.100
   925.000,    975.000,     0.010,-0.6004E+01,  0.100
   975.000,     25.000,     0.010, 0.7871E+02,  0.100
   975.000,     75.000,     0.010, 0.8634E+02,  0.100
   975.000,    125.000,     0.010, 0.7796E+02,  0.100
   975.000,    175.000,     0.010, 0.5259E+02,  0.100
   975.000,    225.000,     0.010, 0.1770E+02,  0.100
   975.000,    275.000,     0.010,-0.1883E+02,  0.100
   975.000,    325.000,     0.010,-0.4873E+02,  0.100
   975.000,    375.000,     0.010,-0.6371E+02,  0.100
   975.000,    425.000,     0.010,-0.6401E+02,  0.100
   975.000,    475.000,     0.010,-0.5756E+02,  0.100
   975.000,    525.000,     0.010,-0.5002E+02,  0.100
   975.000,    575.000,     0.010,-0.4273E+02,  0.100
   975.000,    625.000,     0.010,-0.3520E+02,  0.100
   975.000,    675.000,     0.010,-0.2713E+02,  0.100
   975.000,    725.000,     0.010,-0.1896E+02,  0.100
   975.000,    775.000,     0.010,-0.1156E+02,  0.100
   975.000,    825.000,     0.010,-0.5864E+01,  0.100
   975.000,    875.000,     0.010,-0.2430E+01,  0.100
   975.000,    925.000,     0.010,-0.1060E+01,  0.100
   975.000,    975.000,     0.010,-0.9654E+00,  0.100
  1025.000,     25.000,     0.010, 0.9824E+02,  0.100
  1025.000,     75.000,     0.010, 0.1177E+03,  0.100
  1025.000,    125.000,     0.010, 0.1116E+03,  0.100
  1025.000,    175.000,     0.010, 0.7709E+02,  0.100
  1025.000,    225.000,     0.010, 0.2996E+02,  0.100
  1025.000,    275.000,     0.010,-0.2092E+02,  0.100
  1025.000,    325.000,     0.010,-0.6574E+02,  0.100
  1025.000,    375.000,     0.010,-0.8636E+02,  0.100
  1025.000,    425.000,     0.010,-0.8278E+02,  0.100
  1025.000,    475.000,     0.010,-0.7281E+02,  0.100
  1025.000,    525.000,     0.010,-0.6448E+02,  0.100
  1025.000,    575.000,     0.010,-0.5712E+02,  0.100
  1025.000,    625.000,     0.010,-0.4801E+02,  0.100
  1025.000,    675.000,     0.010,-0.3620E+02,  0.100
  1025.000,    725.000,     0.010,-0.2290E+02,  0.100
  1025.000,    775.000,     0.010,-0.1018E+02,  0.100
  1025.000,    825.000,     0.010,-0.3246E+00,  0.100
  1025.000,    875.000,     0.010, 0.4977E+01,  0.100
  1025.000,    925.000,     0.010, 0.5987E+01,  0.100
  1025.000,    975.000,     0.010, 0.4631E+01,  0.100
  1075.000,     25.000,     0.010, 0.1183E+03,  0.100
  1075.000,     75.000,     0.010, 0.1630E+03,  0.100
  1075.000,    125.000,     0.010, 0.1662E+03,  0.100
  1075.000,    175.000,     0.010, 0.1179E+03,  0.100
  1075.000,    225.000,     0.010, 0.5725E+02,  0.100
  1075.000,    275.000,     0.010,-0.1092E+02,  0.100
  1075.000,    325.000,     0.010,-0.8295E+02,  0.100
  1075.000,    375.000,     0.010,-0.1154E+03,  0.100
  1075.000,    425.000,     0.010,-0.1025E+03,  0.100
  1075.000,    475.000,     0.010,-0.8857E+02,  0.100
  1075.000,    525.000,     0.010,-0.8217E+02,  0.100
