x_m,y_m,z_m,mg_nT,stdev
546168,2106397,3386.740174,143.0797366,1
546168,2107397,3311.563581,96.56030891,1
546168,2108397,3239.023954,9.054006849,1
546168,2109397,3234.661745,-36.4023789,1
546168,2110397,3215.253396,-35.0222421,1
546168,2111397,3249.343847,-25.29195366,1
547168,2092397,2447.032465,-55.19347984,1
547168,2093397,2493.940964,-55.7332771,1
547168,2094397,2590.493156,-35.3901779,1
547168,2095397,2644.478199,-3.23443922,1
547168,2096397,2701.257132,19.20940546,1
547168,2097397,2766.173092,21.75812824,1
547168,2098397,2832.311971,13.25922595,1
547168,2099397,2883.321296,10.81418941,1
547168,2100397,2969.85566,17.2833006,1
547168,2101397,3075.928847,32.03407745,1
547168,2102397,3122.988153,40.20324482,1
547168,2103397,3163.671159,15.09168018,1
547168,2104397,3189.227736,-3.533587039,1
547168,2105397,3225.193041,46.06112797,1
547168,2106397,3265.883409,109.9333724,1
547168,2107397,3244.57234,97.92328327,1
547168,2108397,3140.70208,25.57959987,1
547168,2109397,3149.774241,-27.34087607,1
547168,2110397,3148.308738,-36.67583819,1
547168,2111397,3100.957855,-26.72601515,1
548168,2092397,2392.95081,-23.59739083,1
548168,2093397,2463.894257,-24.98543815,1
548168,2094397,2558.993716,-14.9324844,1
548168,2095397,2600.425707,2.048709475,1
548168,2096397,2656.399789,12.16106145,1
548168,2097397,2712.841714,11.37716512,1
548168,2098397,2755.526899,6.332447034,1
548168,2099397,2794.568423,6.076544554,1
548168,2100397,2885.276261,10.44698194,1
548168,2101397,2982.795293,18.07136406,1
548168,2102397,3039.183879,20.18358707,1
548168,2103397,3085.181619,1.913052049,1
548168,2104397,3116.576497,-9.046913975,1
548168,2105397,3136.724887,26.02460045,1
548168,2106397,3170.187622,76.07636696,1
548168,2107397,3172.291687,81.67003373,1
548168,2108397,3136.298719,37.08992725,1
548168,2109397,3068.262626,-14.92313829,1
548168,2110397,3030.529848,-41.51992651,1
548168,2111397,3005.626321,-39.47297086,1
