 x[m],y[m],z[m],mg[nT],Std_dev[nT]
   525.000,    875.000,     0.010,-0.3722E+02,  0.100
   525.000,    925.000,     0.010,-0.2062E+02,  0.100
   525.000,    975.000,     0.010,-0.4468E+02,  0.100
   575.000,     25.000,     0.010, 0.1285E+02,  0.100
   575.000,     75.000,     0.010, 0.5025E+01,  0.100
   575.000,    125.000,     0.010, 0.2964E+02,  0.100
   575.000,    175.000,     0.010, 0.9957E+01,  0.100
   575.000,    225.000,     0.010, 0.7781E+01,  0.100
   575.000,    275.000,     0.010, 0.7596E+01,  0.100
   575.000,    325.000,     0.010,-0.5526E+01,  0.100
   575.000,    375.000,     0.010, 0.1309E+02,  0.100
   575.000,    425.000,     0.010,-0.6105E+01,  0.100
   575.000,    475.000,     0.010, 0.1456E+00,  0.100
   575.000,    525.000,     0.010, 0.2454E+02,  0.100
   575.000,    575.000,     0.010, 0.4032E+02,  0.100
   575.000,    625.000,     0.010, 0.9698E+01,  0.100
   575.000,    675.000,     0.010, 0.2455E+01,  0.100
   575.000,    725.000,     0.010,-0.6734E+01,  0.100
   575.000,    775.000,     0.010,-0.7741E+01,  0.100
   575.000,    825.000,     0.010,-0.7007E+01,  0.100
   575.000,    875.000,     0.010,-0.8877E+01,  0.100
   575.000,    925.000,     0.010,-0.2725E+02,  0.100
   575.000,    975.000,     0.010,-0.1161E+02,  0.100
   625.000,     25.000,     0.010, 0.2462E+01,  0.100
   625.000,     75.000,     0.010,-0.1417E+01,  0.100
   625.000,    125.000,     0.010, 0.2669E+02,  0.100
   625.000,    175.000,     0.010,-0.2925E+01,  0.100
   625.000,    225.000,     0.010, 0.5366E+01,  0.100
   625.000,    275.000,     0.010, 0.1433E+02,  0.100
   625.000,    325.000,     0.010,-0.1043E+02,  0.100
   625.000,    375.000,     0.010, 0.1775E+02,  0.100
   625.000,    425.000,     0.010,-0.2257E+01,  0.100
   625.000,    475.000,     0.010, 0.1488E+02,  0.100
   625.000,    525.000,     0.010, 0.8038E+01,  0.100
   625.000,    575.000,     0.010, 0.1666E+02,  0.100
   625.000,    625.000,     0.010,-0.1653E+01,  0.100
   625.000,    675.000,     0.010, 0.1562E+02,  0.100
   625.000,    725.000,     0.010, 0.3654E+01,  0.100
   625.000,    775.000,     0.010,-0.1318E+02,  0.100
   625.000,    825.000,     0.010,-0.1255E+02,  0.100
   625.000,    875.000,     0.010,-0.1688E+02,  0.100
   625.000,    925.000,     0.010,-0.4377E+02,  0.100
   625.000,    975.000,     0.010,-0.4272E+02,  0.100
   675.000,     25.000,     0.010, 0.2365E+02,  0.100
   675.000,     75.000,     0.010, 0.3178E+02,  0.100
   675.000,    125.000,     0.010, 0.3043E+02,  0.100
   675.000,    175.000,     0.010, 0.1403E+02,  0.100
   675.000,    225.000,     0.010, 0.1520E+02,  0.100
   675.000,    275.000,     0.010,-0.8059E+01,  0.100
   675.000,    325.000,     0.010, 0.2565E+01,  0.100
   675.000,    375.000,     0.010,-0.5967E+01,  0.100
   675.000,    425.000,     0.010,-0.1230E+02,  0.100
   675.000,    475.000,     0.010,-0.7849E+01,  0.100
   675.000,    525.000,     0.010, 0.1276E+02,  0.100
   675.000,    575.000,     0.010, 0.1043E+02,  0.100
   675.000,    625.000,     0.010, 0.2135E+02,  0.100
   675.000,    675.000,     0.010, 0.1293E+02,  0.100
   675.000,    725.000,     0.010,-0.2213E+02,  0.100
   675.000,    775.000,     0.010,-0.1704E+02,  0.100
   675.000,    825.000,     0.010,-0.3952E+02,  0.100
   675.000,    875.000,     0.010,-0.2486E+02,  0.100
   675.000,    925.000,     0.010,-0.3738E+02,  0.100
   675.000,    975.000,     0.010,-0.4067E+02,  0.100
   725.000,     25.000,     0.010, 0.1522E+02,  0.100
   725.000,     75.000,     0.010, 0.3123E+02,  0.100
   725.000,    125.000,     0.010, 0.2585E+02,  0.100
   725.000,    175.000,     0.010,-0.5278E+01,  0.100
   725.000,    225.000,     0.010, 0.2684E+01,  0.100
   725.000,    275.000,     0.010, 0.3381E+01,  0.100
   725.000,    325.000,     0.010, 0.2642E+01,  0.100
   725.000,    375.000,     0.010,-0.1680E+02,  0.100
   725.000,    425.000,     0.010,-0.8191E+01,  0.100
   725.000,    475.000,     0.010, 0.3056E+01,  0.100
   725.000,    525.000,     0.010,-0.1026E+02,  0.100
   725.000,    575.000,     0.010, 0.1955E+02,  0.100
   725.000,    625.000,     0.010,-0.1522E+02,  0.100
   725.000,    675.000,     0.010,-0.1232E+02,  0.100
   725.000,    725.000,     0.010,-0.1995E+02,  0.100
   725.000,    775.000,     0.010,-0.3255E+02,  0.100
   725.000,    825.000,     0.010,-0.2835E+02,  0.100
   725.000,    875.000,     0.010,-0.4555E+01,  0.100
   725.000,    925.000,     0.010,-0.1257E+02,  0.100
   725.000,    975.000,     0.010,-0.8177E+01,  0.100
   775.000,     25.000,     0.010, 0.2251E+02,  0.100
   775.000,     75.000,     0.010, 0.4885E+02,  0.100
   775.000,    125.000,     0.010, 0.3202E+02,  0.100
   775.000,    175.000,     0.010, 0.2541E+02,  0.100
   775.000,    225.000,     0.010, 0.1947E+02,  0.100
   775.000,    275.000,     0.010, 0.8480E+01,  0.100
   775.000,    325.000,     0.010, 0.3471E+01,  0.100
   775.000,    375.000,     0.010,-0.4758E+01,  0.100
   775.000,    425.000,     0.010,-0.2092E+02,  0.100
   775.000,    475.000,     0.010,-0.1858E+02,  0.100
   775.000,    525.000,     0.010, 0.3184E+01,  0.100
   775.000,    575.000,     0.010,-0.5503E+01,  0.100
   775.000,    625.000,     0.010,-0.2291E+02,  0.100
   775.000,    675.000,     0.010,-0.1133E+02,  0.100
   775.000,    725.000,     0.010,-0.2859E+02,  0.100
   775.000,    775.000,     0.010,-0.2019E+02,  0.100
   775.000,    825.000,     0.010,-0.1461E+01,  0.100
   775.000,    875.000,     0.010,-0.1281E+02,  0.100
   775.000,    925.000,     0.010,-0.1805E+02,  0.100
   775.000,    975.000,     0.010,-0.1871E+01,  0.100
   825.000,     25.000,     0.010, 0.2412E+02,  0.100
   825.000,     75.000,     0.010, 0.2128E+02,  0.100
   825.000,    125.000,     0.010, 0.2214E+02,  0.100
   825.000,    175.000,     0.010, 0.3620E+01,  0.100
   825.000,    225.000,     0.010, 0.1732E+02,  0.100
   825.000,    275.000,     0.010,-0.7915E+00,  0.100
   825.000,    325.000,     0.010,-0.2633E+02,  0.100
   825.000,    375.000,     0.010,-0.3515E+02,  0.100
   825.000,    425.000,     0.010,-0.2856E+02,  0.100
   825.000,    475.000,     0.010,-0.1996E+02,  0.100
   825.000,    525.000,     0.010,-0.2448E+02,  0.100
   825.000,    575.000,     0.010, 0.3954E+01,  0.100
   825.000,    625.000,     0.010,-0.2210E+02,  0.100
   825.000,    675.000,     0.010,-0.2776E+02,  0.100
   825.000,    725.000,     0.010,-0.1601E+01,  0.100
   825.000,    775.000,     0.010,-0.2780E+02,  0.100
   825.000,    825.000,     0.010,-0.4295E+01,  0.100
   825.000,    875.000,     0.010,-0.3107E+02,  0.100
   825.000,    925.000,     0.010,-0.1074E+02,  0.100
   825.000,    975.000,     0.010,-0.1380E+01,  0.100
   875.000,     25.000,     0.010, 0.3144E+02,  0.100
   875.000,     75.000,     0.010, 0.4974E+02,  0.100
   875.000,    125.000,     0.010, 0.5889E+02,  0.100
   875.000,    175.000,     0.010, 0.4179E+02,  0.100
   875.000,    225.000,     0.010, 0.1087E+02,  0.100
   875.000,    275.000,     0.010,-0.8117E+01,  0.100
   875.000,    325.000,     0.010,-0.7000E+01,  0.100
   875.000,    375.000,     0.010,-0.3077E+02,  0.100
   875.000,    425.000,     0.010,-0.3950E+02,  0.100
   875.000,    475.000,     0.010,-0.2009E+02,  0.100
   875.000,    525.000,     0.010,-0.4450E+02,  0.100
   875.000,    575.000,     0.010,-0.3991E+02,  0.100
   875.000,    625.000,     0.010,-0.9262E+01,  0.100
   875.000,    675.000,     0.010,-0.1349E+01,  0.100
   875.000,    725.000,     0.010,-0.1718E+02,  0.100
   875.000,    775.000,     0.010,-0.1132E+02,  0.100
   875.000,    825.000,     0.010, 0.2824E+01,  0.100
   875.000,    875.000,     0.010,-0.4550E+01,  0.100
   875.000,    925.000,     0.010,-0.1754E+02,  0.100
   875.000,    975.000,     0.010,-0.1748E+02,  0.100
   925.000,     25.000,     0.010, 0.7236E+02,  0.100
   925.000,     75.000,     0.010, 0.7990E+02,  0.100
   925.000,    125.000,     0.010, 0.6882E+02,  0.100
   925.000,    175.000,     0.010, 0.3290E+02,  0.100
   925.000,    225.000,     0.010, 0.1249E+02,  0.100
   925.000,    275.000,     0.010, 0.3374E+01,  0.100
   925.000,    325.000,     0.010,-0.4023E+02,  0.100
   925.000,    375.000,     0.010,-0.6163E+02,  0.100
   925.000,    425.000,     0.010,-0.6478E+02,  0.100
   925.000,    475.000,     0.010,-0.3230E+02,  0.100
   925.000,    525.000,     0.010,-0.4423E+02,  0.100
   925.000,    575.000,     0.010,-0.2197E+02,  0.100
   925.000,    625.000,     0.010,-0.2730E+02,  0.100
   925.000,    675.000,     0.010,-0.1499E+02,  0.100
   925.000,    725.000,     0.010,-0.1273E+02,  0.100
   925.000,    775.000,     0.010,-0.1012E+02,  0.100
   925.000,    825.000,     0.010,-0.1168E+02,  0.100
   925.000,    875.000,     0.010, 0.4194E+01,  0.100
   925.000,    925.000,     0.010,-0.2100E+02,  0.100
   925.000,    975.000,     0.010,-0.1314E+02,  0.100
   975.000,     25.000,     0.010, 0.8099E+02,  0.100
   975.000,     75.000,     0.010, 0.7683E+02,  0.100
   975.000,    125.000,     0.010, 0.6290E+02,  0.100
   975.000,    175.000,     0.010, 0.4023E+02,  0.100
   975.000,    225.000,     0.010, 0.3554E+02,  0.100
   975.000,    275.000,     0.010,-0.1142E+02,  0.100
   975.000,    325.000,     0.010,-0.6336E+02,  0.100
   975.000,    375.000,     0.010,-0.7735E+02,  0.100
   975.000,    425.000,     0.010,-0.6848E+02,  0.100
   975.000,    475.000,     0.010,-0.5143E+02,  0.100
   975.000,    525.000,     0.010,-0.6596E+02,  0.100
   975.000,    575.000,     0.010,-0.5162E+02,  0.100
   975.000,    625.000,     0.010,-0.3016E+02,  0.100
   975.000,    675.000,     0.010,-0.1486E+02,  0.100
   975.000,    725.000,     0.010,-0.3341E+02,  0.100
   975.000,    775.000,     0.010, 0.2982E+01,  0.100
   975.000,    825.000,     0.010, 0.4539E+01,  0.100
   975.000,    875.000,     0.010, 0.1985E+01,  0.100
   975.000,    925.000,     0.010, 0.8076E+01,  0.100
   975.000,    975.000,     0.010, 0.1561E+02,  0.100
  1025.000,     25.000,     0.010, 0.1067E+03,  0.100
  1025.000,     75.000,     0.010, 0.1154E+03,  0.100
  1025.000,    125.000,     0.010, 0.1127E+03,  0.100
  1025.000,    175.000,     0.010, 0.9198E+02,  0.100
  1025.000,    225.000,     0.010, 0.1737E+02,  0.100
  1025.000,    275.000,     0.010,-0.9559E+01,  0.100
  1025.000,    325.000,     0.010,-0.8190E+02,  0.100
  1025.000,    375.000,     0.010,-0.1049E+03,  0.100
  1025.000,    425.000,     0.010,-0.6713E+02,  0.100
  1025.000,    475.000,     0.010,-0.7660E+02,  0.100
  1025.000,    525.000,     0.010,-0.6805E+02,  0.100
  1025.000,    575.000,     0.010,-0.4411E+02,  0.100
  1025.000,    625.000,     0.010,-0.5630E+02,  0.100
  1025.000,    675.000,     0.010,-0.5408E+02,  0.100
  1025.000,    725.000,     0.010,-0.2473E+02,  0.100
  1025.000,    775.000,     0.010,-0.1462E+02,  0.100
  1025.000,    825.000,     0.010,-0.1134E+02,  0.100
  1025.000,    875.000,     0.010, 0.1590E+02,  0.100
  1025.000,    925.000,     0.010,-0.3989E+01,  0.100
  1025.000,    975.000,     0.010,-0.1855E+01,  0.100
  1075.000,     25.000,     0.010, 0.1356E+03,  0.100
  1075.000,     75.000,     0.010, 0.1771E+03,  0.100
  1075.000,    125.000,     0.010, 0.1593E+03,  0.100
  1075.000,    175.000,     0.010, 0.1333E+03,  0.100
  1075.000,    225.000,     0.010, 0.7479E+02,  0.100
  1075.000,    275.000,     0.010,-0.1929E+02,  0.100
  1075.000,    325.000,     0.010,-0.6980E+02,  0.100
  1075.000,    375.000,     0.010,-0.1055E+03,  0.100
  1075.000,    425.000,     0.010,-0.1170E+03,  0.100
  1075.000,    475.000,     0.010,-0.7358E+02,  0.100
  1075.000,    525.000,     0.010,-0.8239E+02,  0.100
  1075.000,    575.000,     0.010,-0.9000E+02,  0.100
  1075.000,    625.000,     0.010,-0.6291E+02,  0.100
  1075.000,    675.000,     0.010,-0.4467E+02,  0.100
  1075.000,    725.000,     0.010,-0.1415E+02,  0.100
  1075.000,    775.000,     0.010,-0.1394E+02,  0.100
  1075.000,    825.000,     0.010, 0.2318E+02,  0.100
  1075.000,    875.000,     0.010,-0.6780E+00,  0.100
  1075.000,    925.000,     0.010, 0.9549E+01,  0.100
  1075.000,    975.000,     0.010, 0.1793E+02,  0.100
  1125.000,     25.000,     0.010, 0.1093E+03,  0.100
  1125.000,     75.000,     0.010, 0.1942E+03,  0.100
  1125.000,    125.000,     0.010, 0.2038E+03,  0.100
  1125.000,    175.000,     0.010, 0.1655E+03,  0.100
  1125.000,    225.000,     0.010, 0.7067E+02,  0.100
  1125.000,    275.000,     0.010,-0.1293E+02,  0.100
  1125.000,    325.000,     0.010,-0.1022E+03,  0.100
  1125.000,    375.000,     0.010,-0.1317E+03,  0.100
  1125.000,    425.000,     0.010,-0.1136E+03,  0.100
  1125.000,    475.000,     0.010,-0.9782E+02,  0.100
  1125.000,    525.000,     0.010,-0.1100E+03,  0.100
  1125.000,    575.000,     0.010,-0.9632E+02,  0.100
  1125.000,    625.000,     0.010,-0.9548E+02,  0.100
  1125.000,    675.000,     0.010,-0.7818E+02,  0.100
  1125.000,    725.000,     0.010,-0.4325E+02,  0.100
