x,y,z,aCB_mGal,std_dev
702229,234147,0.01,-24.76589399,0.1
702229,240647,0.01,-22.34974521,0.1
702229,247147,0.01,-18.83702828,0.1
702229,253647,0.01,-17.04924776,0.1
702229,260147,0.01,-14.5093313,0.1
702229,266647,0.01,-10.53285266,0.1
702229,273147,0.01,-9.265260997,0.1
702229,279647,0.01,-9.201972767,0.1
702229,286147,0.01,-3.777037076,0.1
702229,292647,0.01,1.614953482,0.1
702229,299147,0.01,1.846244236,0.1
702229,305647,0.01,1.556674948,0.1
702229,312147,0.01,3.068501147,0.1
702229,318647,0.01,4.961253168,0.1
702229,325147,0.01,6.576688206,0.1
708729,110647,0.01,23.11535734,0.1
708729,117147,0.01,17.9456343,0.1
708729,123647,0.01,13.93384973,0.1
708729,130147,0.01,13.50153271,0.1
708729,136647,0.01,11.93931183,0.1
708729,143147,0.01,8.382786911,0.1
708729,149647,0.01,6.261208093,0.1
708729,156147,0.01,3.221272579,0.1
708729,162647,0.01,-3.045902954,0.1
708729,169147,0.01,-7.014711835,0.1
708729,175647,0.01,-8.325667191,0.1
708729,182147,0.01,-10.20200065,0.1
708729,188647,0.01,-12.63110355,0.1
708729,195147,0.01,-16.20052731,0.1
708729,201647,0.01,-20.64599336,0.1
708729,208147,0.01,-23.8416156,0.1
708729,214647,0.01,-24.60840029,0.1
708729,221147,0.01,-24.50601875,0.1
708729,227647,0.01,-25.45805339,0.1
708729,234147,0.01,-25.01496125,0.1
708729,240647,0.01,-22.24139102,0.1
708729,247147,0.01,-19.98417672,0.1
708729,253647,0.01,-18.81525805,0.1
708729,260147,0.01,-14.80821063,0.1
708729,266647,0.01,-8.551425865,0.1
708729,273147,0.01,-5.391050403,0.1
708729,279647,0.01,-4.669397681,0.1
708729,286147,0.01,-2.196146188,0.1
708729,292647,0.01,-0.011519915,0.1
708729,299147,0.01,1.496486273,0.1
708729,305647,0.01,2.687403739,0.1
708729,312147,0.01,1.883376951,0.1
708729,318647,0.01,2.853767048,0.1
708729,325147,0.01,6.951178391,0.1
715229,110647,0.01,23.03090718,0.1
715229,117147,0.01,20.97308512,0.1
715229,123647,0.01,19.45464478,0.1
715229,130147,0.01,18.61739731,0.1
715229,136647,0.01,16.80594299,0.1
715229,143147,0.01,12.27606675,0.1
715229,149647,0.01,7.700450139,0.1
715229,156147,0.01,4.577032576,0.1
715229,162647,0.01,-0.569933607,0.1
715229,169147,0.01,-3.589599776,0.1
715229,175647,0.01,-5.666839409,0.1
715229,182147,0.01,-9.153921154,0.1
715229,188647,0.01,-12.35782082,0.1
715229,195147,0.01,-15.2785072,0.1
715229,201647,0.01,-18.6751717,0.1
715229,208147,0.01,-22.0134239,0.1
715229,214647,0.01,-24.76279818,0.1
715229,221147,0.01,-26.33620744,0.1
715229,227647,0.01,-26.82262341,0.1
715229,234147,0.01,-26.59556649,0.1
715229,240647,0.01,-25.54190927,0.1
715229,247147,0.01,-23.15094569,0.1
715229,253647,0.01,-19.62229208,0.1
715229,260147,0.01,-15.05510001,0.1
715229,266647,0.01,-9.68511039,0.1
715229,273147,0.01,-6.348118894,0.1
715229,279647,0.01,-4.859704797,0.1
715229,286147,0.01,-3.738239558,0.1
715229,292647,0.01,-2.736018925,0.1
715229,299147,0.01,0.772860357,0.1
715229,305647,0.01,4.441667493,0.1
715229,312147,0.01,2.98495272,0.1
715229,318647,0.01,3.004972447,0.1
715229,325147,0.01,8.542655458,0.1
721729,110647,0.01,22.50920944,0.1
721729,117147,0.01,23.01620195,0.1
721729,123647,0.01,22.59162893,0.1
721729,130147,0.01,19.72809582,0.1
721729,136647,0.01,13.97496497,0.1
721729,143147,0.01,12.00908815,0.1
721729,149647,0.01,9.280305794,0.1
721729,156147,0.01,7.16766424,0.1
721729,162647,0.01,3.31584372,0.1
721729,169147,0.01,0.116386035,0.1
721729,175647,0.01,-2.939422489,0.1
721729,182147,0.01,-6.813701743,0.1
721729,188647,0.01,-10.45703408,0.1
721729,195147,0.01,-13.77388016,0.1
721729,201647,0.01,-16.56068597,0.1
721729,208147,0.01,-19.86248677,0.1
721729,214647,0.01,-24.024466,0.1
721729,221147,0.01,-25.96120738,0.1
721729,227647,0.01,-25.26175357,0.1
721729,234147,0.01,-25.6440646,0.1
721729,240647,0.01,-25.57169253,0.1
721729,247147,0.01,-22.01478393,0.1
721729,253647,0.01,-16.82238579,0.1
721729,260147,0.01,-12.41848217,0.1
721729,266647,0.01,-8.769579114,0.1
721729,273147,0.01,-6.712653748,0.1
721729,279647,0.01,-4.41790055,0.1
721729,286147,0.01,-1.003436577,0.1
721729,292647,0.01,1.514682941,0.1
721729,299147,0.01,4.563533845,0.1
721729,305647,0.01,7.754933694,0.1
721729,312147,0.01,6.921143655,0.1
721729,318647,0.01,7.140607884,0.1
721729,325147,0.01,12.09080852,0.1
728229,110647,0.01,24.58389695,0.1
728229,117147,0.01,18.35606033,0.1
728229,123647,0.01,19.95376249,0.1
728229,130147,0.01,19.47197361,0.1
728229,136647,0.01,12.19688566,0.1
728229,143147,0.01,13.16995364,0.1
728229,149647,0.01,12.3607687,0.1
728229,156147,0.01,10.01025454,0.1
728229,162647,0.01,5.046317984,0.1
728229,169147,0.01,0.979152161,0.1
728229,175647,0.01,-1.479948364,0.1
728229,182147,0.01,-3.77424365,0.1
728229,188647,0.01,-7.401827227,0.1
728229,195147,0.01,-12.67249355,0.1
728229,201647,0.01,-17.54899049,0.1
728229,208147,0.01,-20.64105058,0.1
728229,214647,0.01,-23.43157427,0.1
728229,221147,0.01,-24.34047689,0.1
728229,227647,0.01,-23.64050637,0.1
728229,234147,0.01,-24.29273643,0.1
728229,240647,0.01,-23.64259064,0.1
728229,247147,0.01,-19.90251637,0.1
728229,253647,0.01,-15.72440055,0.1
728229,260147,0.01,-10.87474734,0.1
728229,266647,0.01,-5.990839608,0.1
728229,273147,0.01,-3.777443366,0.1
728229,279647,0.01,-1.689184517,0.1
728229,286147,0.01,2.1834545,0.1
728229,292647,0.01,4.48992008,0.1
728229,299147,0.01,5.588182134,0.1
728229,305647,0.01,7.713157379,0.1
728229,312147,0.01,8.514058108,0.1
728229,318647,0.01,9.447532162,0.1
728229,325147,0.01,11.68152935,0.1
734729,110647,0.01,19.87845103,0.1
734729,117147,0.01,17.7625649,0.1
734729,123647,0.01,18.00217121,0.1
734729,130147,0.01,16.04109163,0.1
734729,136647,0.01,14.57313425,0.1
734729,143147,0.01,13.67237698,0.1
734729,149647,0.01,11.46456736,0.1
734729,156147,0.01,9.053666422,0.1
734729,162647,0.01,4.856283861,0.1
734729,169147,0.01,2.535416024,0.1
734729,175647,0.01,1.803474732,0.1
734729,182147,0.01,-1.546585189,0.1
734729,188647,0.01,-6.208638591,0.1
734729,195147,0.01,-10.70572297,0.1
734729,201647,0.01,-15.10230983,0.1
734729,208147,0.01,-18.87778066,0.1
734729,214647,0.01,-21.38209152,0.1
734729,221147,0.01,-22.64872266,0.1
734729,227647,0.01,-23.25227135,0.1
734729,234147,0.01,-24.4168539,0.1
